,Transplant Year,Age Group,N,Graft_Survival_Rate ,Patient Survival Rate,All ABO,O,A,B,AB,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
97,2007,1-5 Years,154,86.96,94.67,162,88,49,20,5,54,0,11,0,2,0,76,5,1,0,13,291,95,118,0,29,6,2,6
98,2007,6-10 Years,131,88.97,97.56,141,75,36,23,7,34,0,32,0,0,0,52,5,0,6,12,146,50,63,0,12,0,1,1
99,2007,11-17 Years,425,86.65,98.77,491,248,172,52,19,89,0,168,8,2,0,140,7,6,31,40,406,161,186,0,31,7,1,1
100,2007,18-34,1847,86.76,97.35,2265,1074,809,292,90,107,137,892,356,4,1,350,59,39,210,110,1778,803,588,0,133,23,14,12
101,2007,35-49,3887,88.72,95.89,4677,2141,1704,588,244,68,787,1219,989,8,1,495,469,101,371,169,4373,1705,964,0,321,53,17,20
102,2007,50-64,5639,86.09,91.45,6519,2925,2451,805,338,26,2006,986,1310,19,3,735,730,141,305,258,7987,2078,1403,0,500,76,31,30
103,2007,65+,2243,79.25,83.73,2377,1054,895,303,125,13,778,281,631,15,1,240,185,66,46,121,2413,515,352,0,189,13,7,12
104,2006,<1 Year,7,0,0,7,3,2,2,0,4,0,0,0,0,0,3,0,0,0,0,168,52,71,0,17,1,0,6
105,2006,1-5 Years,155,92.07,98.67,163,80,48,27,8,47,0,18,0,3,0,66,8,1,3,17,290,89,103,0,17,6,0,13
106,2006,6-10 Years,128,85.47,98.39,138,79,38,19,2,29,0,39,1,4,0,48,6,1,4,6,144,53,62,0,9,2,0,4
107,2006,11-17 Years,509,83.85,98.38,584,272,219,69,24,124,0,190,13,3,0,160,17,3,34,40,452,188,183,0,37,8,3,4
108,2006,18-34,2031,86.78,97.79,2521,1185,897,322,117,115,156,983,345,7,0,396,52,45,276,146,1974,821,624,0,148,29,11,18
109,2006,35-49,3901,88.58,95.81,4771,2182,1691,654,244,61,788,1244,981,11,0,535,431,96,450,174,4566,1729,1026,0,308,66,20,30
110,2006,50-64,5713,84.16,90.02,6523,2817,2513,886,307,35,1882,1027,1342,19,0,723,758,162,322,253,8046,2184,1307,1,467,88,32,32
111,2006,65+,2238,78.58,83.58,2388,1047,946,275,120,7,716,321,626,19,0,280,178,71,61,109,2421,471,322,0,178,22,10,8
112,2005,<1 Year,3,0,0,4,2,2,0,0,1,0,0,0,0,0,2,0,0,0,1,167,57,56,0,11,0,0,4
113,2005,1-5 Years,148,87.6,93.8,155,76,56,17,6,56,0,22,1,2,0,48,12,2,3,9,273,82,112,0,13,5,3,10
114,2005,6-10 Years,143,90.01,99.3,155,80,51,17,7,41,0,38,3,1,0,53,6,1,2,10,193,41,57,0,13,0,0,3
115,2005,11-17 Years,498,80.75,98.09,578,287,199,74,18,128,2,197,4,2,0,146,12,6,34,47,475,181,163,0,25,6,5,9
116,2005,18-34,2058,85.86,96.71,2492,1174,908,320,90,79,165,995,345,5,1,409,49,70,223,151,2015,883,552,1,160,22,11,15
117,2005,35-49,3889,86.74,94.61,4751,2163,1737,618,233,66,816,1186,860,10,0,620,455,125,437,176,4714,1695,980,0,295,54,33,30
118,2005,50-64,5391,84.62,89.61,6167,2704,2373,785,305,22,1872,936,1108,17,0,702,776,177,322,235,7768,1887,1249,0,478,78,40,35
119,2005,65+,2067,76.33,81,2183,921,861,290,111,9,670,268,555,15,0,287,141,73,40,125,2215,423,330,0,153,19,11,9
120,2004,<1 Year,2,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,135,58,55,0,14,2,2,7
121,2004,1-5 Years,148,92.43,97.24,152,73,54,19,6,59,0,13,0,5,0,49,6,1,2,17,281,83,103,0,17,3,3,11
122,2004,6-10 Years,122,90.78,99.17,130,61,50,16,3,36,0,43,1,0,0,26,6,1,4,13,147,47,58,0,13,1,0,4
123,2004,11-17 Years,422,81,96.57,479,236,165,61,17,91,0,172,4,0,0,107,20,4,32,49,409,160,168,0,23,8,0,4
124,2004,18-34,2166,85.39,96.65,2671,1271,929,350,121,109,219,1070,339,3,0,401,36,77,276,141,2092,866,597,0,150,32,22,11
125,2004,35-49,3934,86.65,94.7,4834,2274,1763,610,187,69,881,1228,850,10,0,509,428,171,472,216,4984,1533,1012,1,314,52,30,20
126,2004,50-64,5254,83.49,89.18,5882,2590,2237,774,281,31,1782,954,1031,16,0,670,675,222,275,226,7306,1799,1157,0,427,81,29,22
127,2004,65+,1762,76.11,80.4,1857,806,732,234,85,12,569,239,444,14,0,226,126,88,47,92,1890,378,264,0,123,24,5,5
128,2003,<1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,27,61,0,8,3,2,4
129,2003,1-5 Years,145,91.65,95.78,155,64,64,21,6,70,0,14,0,1,0,43,8,0,6,13,276,69,90,0,14,4,3,5
130,2003,6-10 Years,138,84.5,97.06,149,72,50,21,6,52,0,41,0,1,0,27,4,0,8,16,169,52,53,0,9,2,3,2
131,2003,11-17 Years,432,80.98,97.36,506,242,182,62,20,119,1,171,6,2,0,112,14,3,41,37,427,171,143,0,29,7,5,2
132,2003,18-34,2055,84.21,96.24,2514,1221,870,306,117,108,195,941,266,5,0,420,48,89,302,140,2000,814,542,2,130,24,14,6
133,2003,35-49,3860,85.68,93.96,4644,2174,1717,551,202,59,811,1137,702,9,0,573,469,186,496,202,4931,1475,973,0,247,56,35,17
134,2003,50-64,4867,82.92,89.24,5483,2419,2109,708,247,24,1578,890,894,24,0,631,670,241,309,222,6730,1703,1058,1,387,73,35,13
135,2003,65+,1601,75.5,79.98,1687,756,643,218,70,12,477,246,343,9,0,240,135,90,49,86,1729,322,225,0,104,22,6,5
136,2002,<1 Year,5,0,0,5,2,2,0,1,1,0,0,0,0,0,0,2,0,0,2,157,31,54,0,7,3,0,3
137,2002,1-5 Years,137,88.07,95.55,141,72,54,15,0,52,1,18,1,2,0,44,10,0,2,11,256,94,102,0,19,2,2,2
138,2002,6-10 Years,146,87.27,95.7,157,77,56,15,9,49,0,42,0,4,0,35,4,1,8,14,163,47,60,1,5,2,0,1
139,2002,11-17 Years,385,84.61,97.55,465,233,161,51,20,104,1,134,6,1,0,87,5,5,74,48,447,131,127,2,21,7,6,5
140,2002,18-34,2100,85.08,96.55,2573,1175,972,310,116,95,205,948,251,4,0,367,42,98,426,137,2030,814,568,1,139,14,13,6
141,2002,35-49,3885,85.69,94.36,4666,2133,1717,598,218,48,815,1141,627,6,0,524,428,226,673,178,5189,1473,871,4,242,50,30,9
142,2002,50-64,4697,81.43,87.74,5240,2289,2041,668,242,23,1557,845,776,15,0,543,622,251,384,224,6605,1503,987,1,333,69,33,6
143,2002,65+,1459,75.72,80.33,1533,649,607,190,87,6,435,250,304,13,0,193,114,101,67,50,1523,277,235,0,106,18,7,2
144,2001,<1 Year,4,0,0,4,2,1,0,1,3,0,0,0,0,0,1,0,0,0,0,143,49,62,1,12,0,0,2
145,2001,1-5 Years,146,91.5,97.16,152,61,65,17,9,58,0,27,0,1,0,39,11,0,4,12,279,89,99,1,20,2,2,0
146,2001,6-10 Years,125,84.48,98.34,141,75,40,21,5,36,0,32,1,1,0,34,5,0,14,18,144,46,45,0,6,3,0,1
147,2001,11-17 Years,386,87.31,97.58,429,193,171,47,18,93,0,145,9,4,0,74,15,6,39,44,417,121,160,0,20,6,1,1
148,2001,18-34,2201,85.54,96.89,2684,1197,1028,329,130,86,214,934,260,3,0,406,55,105,471,150,2165,833,524,0,146,18,20,1
149,2001,35-49,3886,85.88,92.88,4669,2151,1723,585,210,53,797,1065,626,11,1,561,446,197,742,170,5161,1431,844,1,254,52,35,1
150,2001,50-64,4445,81.12,86.72,4912,2178,1919,596,219,16,1402,755,744,22,0,577,571,238,370,217,6435,1446,890,1,281,70,28,0
151,2001,65+,1245,75.58,80.59,1288,544,519,150,75,4,342,176,273,8,0,193,117,68,39,68,1365,253,158,0,81,12,5,0
152,2000,<1 Year,4,0,0,4,0,4,0,0,1,0,1,0,0,0,2,0,0,0,0,156,38,58,0,12,1,3,0
153,2000,1-5 Years,101,84.95,95.9,107,50,36,15,6,37,0,14,0,1,0,33,7,0,3,12,244,74,66,0,13,1,5,0
154,2000,6-10 Years,110,88.06,96.29,126,60,47,13,6,28,0,30,1,1,0,35,5,0,12,14,166,53,60,0,4,1,0,0
155,2000,11-17 Years,344,81.72,98.76,392,162,162,51,17,85,2,129,5,0,0,76,10,1,44,40,390,120,116,0,23,2,1,0
156,2000,18-34,2161,83.37,96.9,2603,1254,925,318,106,83,216,959,229,8,0,415,36,89,414,154,2140,749,486,0,145,22,15,2
157,2000,35-49,3862,85.09,93.87,4652,2111,1741,577,223,43,772,1134,583,7,1,573,415,197,722,205,5302,1395,836,0,237,58,31,1
158,2000,50-64,4095,80.83,86.53,4535,1937,1817,567,214,26,1231,747,636,16,1,563,537,207,357,214,5935,1304,813,0,269,74,31,2
159,2000,65+,1159,74.41,78.85,1212,555,484,120,53,10,313,172,232,5,0,205,101,70,35,69,1363,226,162,0,53,12,3,1
160,1999,<1 Year,8,0,0,9,6,2,0,1,2,0,1,1,0,0,2,1,0,0,2,176,48,40,0,6,4,0,1
161,1999,1-5 Years,131,89.11,96.04,136,68,41,24,3,48,0,16,0,4,0,36,15,0,5,12,250,67,71,0,17,2,0,2
162,1999,6-10 Years,126,91.09,98.35,144,69,51,20,4,43,0,33,2,1,0,32,7,3,12,11,184,45,44,0,3,3,0,0
163,1999,11-17 Years,394,79.8,98.17,461,227,174,51,9,92,2,149,4,0,0,94,17,4,50,49,432,151,94,0,12,9,2,0
