,Transplant Year,Age Group,N,Graft Survival Rate ,Patient Survival Rate,All ABO,O,A,B,AB,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
131,1991,11-17 Years,260,35.2,81.56,348,154,147,32,15,61,1,137,3,2,0,77,12,2,3,50,367,79,64,0,8,6,1,0
132,1991,18-34,2209,34.96,66.21,2867,1300,1093,340,134,58,489,1267,266,1,5,464,46,12,29,230,2492,725,354,3,104,23,12,0
133,1991,35-49,2952,30.53,43.62,3589,1594,1385,434,175,26,865,1139,578,3,2,401,321,24,25,205,4023,915,441,11,139,24,11,0
134,1991,50-64,1971,19.84,23.49,2243,1013,896,250,84,3,493,590,428,6,2,221,356,27,6,111,3439,564,307,8,109,35,4,0
135,1991,65+,318,9.61,9.56,338,154,129,39,16,0,46,105,79,1,0,47,32,6,1,21,471,40,23,0,16,5,2,0
136,1990,<1 Year,5,0,0,8,4,2,2,0,1,0,0,0,0,0,3,2,1,0,1,185,25,26,3,1,1,0,0
137,1990,1-5 Years,91,41.96,79.57,116,48,45,21,2,27,0,19,3,2,0,36,6,1,1,21,234,79,38,3,9,1,0,0
138,1990,6-10 Years,112,43.59,79.58,146,61,59,20,6,40,0,39,0,0,0,35,5,1,4,22,169,39,22,2,5,1,0,1
139,1990,11-17 Years,272,32.49,84.15,372,181,138,40,13,73,1,141,10,2,1,80,9,4,0,51,373,84,78,3,8,4,1,1
140,1990,18-34,2178,34.55,66.85,2842,1290,1120,315,113,84,525,1260,177,4,6,383,49,77,15,262,2623,644,312,7,78,19,8,0
141,1990,35-49,2859,29.27,45.23,3461,1544,1335,414,163,20,777,1144,437,4,8,332,367,152,16,204,3795,935,413,8,132,25,8,0
142,1990,50-64,1947,19.36,22.46,2175,917,898,249,109,8,417,596,330,8,4,226,339,115,8,124,3179,538,253,17,117,28,5,0
143,1990,65+,274,7.94,10.01,296,127,124,32,13,0,28,96,55,6,0,42,33,18,1,17,403,24,22,0,9,3,0,0
144,1989,<1 Year,5,0,0,6,3,3,0,0,1,0,0,0,0,0,4,0,0,0,1,156,21,18,0,6,0,0,1
145,1989,1-5 Years,95,53.7,88.93,118,71,33,11,3,47,0,10,0,1,0,34,8,3,0,15,210,62,50,2,16,1,1,0
