,,All Diagnoses,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases
,18-34 Years,"2,570",103,220,970,255,3,1,404,31,91,311,181
,35-49 Years,"4,288",45,800,"1,108",541,9,3,483,388,212,491,208
,50-64 Years,"4,208",28,"1,200",710,638,13,4,465,513,216,224,197
,65 +,951,5,236,162,181,4,1,139,75,74,30,44
1998,< 1 Year,3,2,0,0,0,0,0,1,0,0,0,0
,1-5 Years,115,34,0,20,0,2,0,32,11,2,5,9
,6-10 Years,153,43,0,47,0,0,1,27,10,2,8,15
,11-17 Years,393,80,0,125,5,0,0,92,2,5,37,47
,18-34 Years,"2,604",89,270,"1,028",258,2,2,423,49,70,221,192
,35-49 Years,"4,342",55,849,"1,133",585,4,4,599,398,181,303,231
,50-64 Years,"3,934",19,"1,104",720,595,7,4,516,473,178,144,174
,65 +,911,3,205,160,180,6,3,139,84,55,17,59
1997,< 1 Year,3,1,0,0,0,0,0,2,0,0,0,0
,1-5 Years,132,56,0,17,0,4,0,37,4,0,2,12
,6-10 Years,137,46,0,30,0,0,0,23,4,1,10,23
,11-17 Years,405,81,0,153,4,1,0,86,4,3,25,48
,18-34 Years,"2,487",91,256,995,245,4,1,408,37,72,200,178
,35-49 Years,"4,181",38,839,"1,137",620,6,0,480,374,180,287,220
,50-64 Years,"3,647",19,985,645,608,8,1,442,466,183,119,171
,65 +,718,2,158,136,153,4,0,101,74,35,11,44
1996,< 1 Year,7,2,0,0,0,0,0,4,1,0,0,0
,1-5 Years,139,46,0,15,1,1,0,32,15,2,4,23
,6-10 Years,146,43,0,40,1,1,1,28,7,0,5,20
,11-17 Years,417,83,2,146,5,1,0,77,8,4,33,58
,18-34 Years,"2,574",116,320,"1,037",264,9,6,327,38,78,171,208
,35-49 Years,"4,162",49,905,"1,117",580,5,20,461,395,204,198,228
,50-64 Years,"3,285",23,850,696,490,10,11,363,395,171,78,198
,65 +,681,3,155,133,135,2,3,79,67,38,8,58
1995,< 1 Year,7,3,0,0,0,0,0,4,0,0,0,0
,1-5 Years,112,34,0,14,0,2,0,33,3,2,5,19
,6-10 Years,147,38,1,39,1,3,0,23,7,2,9,24
,11-17 Years,454,82,3,174,2,3,1,80,12,6,25,66
,18-34 Years,"2,624",116,347,"1,095",243,6,1,326,53,93,140,204
,35-49 Years,"4,064",61,839,"1,183",555,7,3,398,374,226,174,244
,50-64 Years,"3,070",13,779,658,452,11,2,337,407,168,81,162
,65 +,606,3,130,132,108,4,0,88,58,47,7,29
1994,< 1 Year,4,1,0,0,0,0,0,3,0,0,0,0
,1-5 Years,93,39,0,6,0,1,0,30,7,0,3,7
,6-10 Years,140,37,1,31,1,1,0,43,5,1,5,15
,11-17 Years,436,59,1,153,8,2,0,120,5,3,26,59
,18-34 Years,"2,720",116,354,"1,005",216,5,0,607,30,83,112,192
,35-49 Years,"3,925",49,811,"1,021",505,5,0,780,282,162,122,188
,50-64 Years,"2,811",12,652,517,413,6,0,560,347,137,42,125
,65 +,517,1,87,109,98,2,0,115,39,32,4,30
